범위,내용,비고,데이터 시트,행 수,용도
프로젝트,2D Idle Game,,Characters,4,플레이어 캐릭터 기본 정보와 능력치
전투 기준,아군 4슬롯 / 적군 9슬롯,,Skills,12,캐릭터별 기본·특수·궁극 스킬
활성 화면,Assets/Scenes/UI/main.unity,,Enemies,9,적군 기본 구조와 에셋 연결 자리
현재 데이터 상태,기본 구조 및 프로토타입 값,,EnemyFormations,27,스테이지별 적군 9슬롯 배치
외부 프로젝트 참조,없음,,Stages,3,스테이지 기본 진행과 전투 제한
,,,Rewards,3,스테이지 클리어 보상
,,,PartySlots,4,아군 4슬롯 배치 기준
,,,DataDictionary,15,컬럼 규칙과 상태값 설명
진행 규칙,,,,,
1. ID는 Unity 코드와 CSV의 연결 키로 사용합니다.,,,,,
2. assetPath가 비어 있는 적군 행은 실제 적군 에셋 연결 전까지 임시 데이터입니다.,,,,,
3. 이 워크북은 현재 2D Idle Game 전용이며 다른 프로젝트 자료를 참조하지 않습니다.,,,,,
