id,displayName,enemyType,battleAssetPath,motionAssetFolder,hp,attack,defense,speed,status
ENEMY_001,Enemy_001,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_002,Enemy_002,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_003,Enemy_003,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_004,Enemy_004,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_005,Enemy_005,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_006,Enemy_006,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_007,Enemy_007,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_008,Enemy_008,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_009,Enemy_009,Normal,,,800,21,8,80,DRAFT_ASSET_REQUIRED
ENEMY_BOSS,Chapter_Boss,Boss,,,10000,100,20,60,ACTIVE_PROTOTYPE
