id,characterId,skillType,effectType,displayName,manaCost,cooldownSeconds,effectMultiplier,iconAssetPath,status
SKILL_CHAR_001_NORMAL,CHAR_001,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_001_SPECIAL,CHAR_001,Special,SingleDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_001_ULTIMATE,CHAR_001,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_002_NORMAL,CHAR_002,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_002_SPECIAL,CHAR_002,Special,Heal,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_002_ULTIMATE,CHAR_002,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_003_NORMAL,CHAR_003,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_003_SPECIAL,CHAR_003,Special,SingleDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_003_ULTIMATE,CHAR_003,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_004_NORMAL,CHAR_004,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_004_SPECIAL,CHAR_004,Special,AreaDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_004_ULTIMATE,CHAR_004,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_005_NORMAL,CHAR_005,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_005_SPECIAL,CHAR_005,Special,Heal,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_005_ULTIMATE,CHAR_005,Ultimate,Heal,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_006_NORMAL,CHAR_006,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_006_SPECIAL,CHAR_006,Special,SingleDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_006_ULTIMATE,CHAR_006,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_007_NORMAL,CHAR_007,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_007_SPECIAL,CHAR_007,Special,SingleDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_007_ULTIMATE,CHAR_007,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_008_NORMAL,CHAR_008,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_008_SPECIAL,CHAR_008,Special,Heal,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_008_ULTIMATE,CHAR_008,Ultimate,Heal,궁극기,50,12,3,,DRAFT_BALANCE
SKILL_CHAR_009_NORMAL,CHAR_009,Normal,SingleDamage,기본 공격,0,1,1.5,,DRAFT_BALANCE
SKILL_CHAR_009_SPECIAL,CHAR_009,Special,SingleDamage,특수 스킬,20,6,1.5,,DRAFT_BALANCE
SKILL_CHAR_009_ULTIMATE,CHAR_009,Ultimate,AreaDamage,궁극기,50,12,3,,DRAFT_BALANCE
