id,displayName,formationId,timeLimitSeconds,rewardId,partySize
STAGE_001,1-1,FORMATION_001,60,REWARD_001,4
STAGE_002,1-2,FORMATION_002,60,REWARD_002,4
STAGE_003,1-3,FORMATION_003,60,REWARD_003,4
STAGE_004,1-4,FORMATION_004,60,REWARD_004,4
STAGE_005,1-5,FORMATION_005,60,REWARD_005,4
STAGE_006,1-6,FORMATION_006,60,REWARD_006,4
STAGE_007,1-7,FORMATION_007,60,REWARD_007,4
STAGE_008,1-8,FORMATION_008,60,REWARD_008,4
STAGE_009,1-9,FORMATION_009,60,REWARD_009,4
STAGE_010,1-10,FORMATION_010,60,REWARD_010,4
